article,discuss,insertTime,origin,person_id,time,net_name,sex,keyword,area
:#送别国之脊梁袁隆平#一路走好🙏不能去现场送您了！我们会好好吃饭，不浪费粮食，您的愿望都达成了！愿您没有带着遗憾走,0,2021-05-22 18:40:09,Android,7567347172,2021-05-22 18:39:00,CoisiniA999,女,袁隆平,上海
:#长沙市民雨中送别袁隆平# “昨夜山河齐恸震，今朝大星辞九州”,0,2021-05-22 18:40:07,nova7Pro你在焦点在,6880874337,2021-05-22 18:39:00,池塘江南,女,袁隆平,北京
:#送别国之脊梁袁隆平#从小到大我最爱吃的就是白米饭啊啊啊真的好难受啊谢谢爷爷爷爷再见 ,0,2021-05-22 18:40:01,小福泥Android,6554038522,2021-05-22 18:39:00,可问春风等月明,女,袁隆平,山东
:今天很没有想到今天袁隆平爷爷去世了，一路走好,0,2021-05-22 18:40:00,vivo Y5s 闪充强续航,6504298783,2021-05-22 18:39:00,掀开迷雾233女,女,袁隆平,其他
:今天袁隆平爷爷去世了，看着大家的送别，眼里泪水不知不觉就要留下来，你永远活在人民心中。 伊犁·伊犁师范大学 ,0,2021-05-22 18:40:02,OPPO R9s,6481004513,2021-05-22 18:39:00,用户6481004513女,女,袁隆平,其他
:#袁隆平生前给青少年的寄语#生逢盛世，荣幸至极扬扬红旗高空挂，一腔热血挥如下丹心为国与为民，身为华夏恩切浓,0,2021-05-22 18:40:01,OPPO A72 5G,6459835556,2021-05-22 18:39:00,映妆于桃女,女,袁隆平,其他
:袁隆平爷爷一路走好！ ,0,2021-05-22 18:40:08,前后2000万 OPPO R11,6457373917,2021-05-22 18:39:00,我是项项2018女,女,袁隆平,其他
:您用您的天使之翼，化作了人民碗里的粮食！#袁隆平逝世# ,0,2021-05-22 18:40:02,iPhone客户端,6355950696,2021-05-22 18:39:00,法新青年社男,男,袁隆平,重庆
:#袁隆平逝世#走好,0,2021-05-22 18:40:07,华为畅享20 Pro,6218046658,2021-05-22 18:39:00,我是小袁a,女,袁隆平,其他
:#袁隆平#  袁隆平爷爷,1,2021-05-22 18:40:07,vivo S5照亮你的美,6213109569,2021-05-22 18:39:00,小玉,女,袁隆平,四川
:别人离世的时候我只会觉得惋惜，而袁隆平爷爷去世的消息是真的让我心里空了一块。他和温总理，真的是我特别特别特别敬重和崇拜的人 ,0,2021-05-22 18:40:04,Android,6193491618,2021-05-22 18:39:00,晴天糕糕,女,袁隆平,其他
【#民众高喊袁爷爷一路走好#】5月22日，湖南长沙，#市民夹道送别袁隆平院士灵车#，高声齐喊“袁爷爷，一路走好”。  人民日报的微博视频 ,187620,2021-05-22 18:40:08,荣耀Play3,6115367779,2021-05-22 18:39:00,半支桃花醉,女,袁隆平,台湾
:#袁隆平院士逝世#先生千古 ,0,2021-05-22 18:40:00,Redmi Note 7 Pro,6035611398,2021-05-22 18:39:00,巨可爱帅渣小公主,女,袁隆平,广东
:#长沙市民雨中送别袁隆平##袁隆平逝世# 最开始听到的还是谣言，中午同学在教室里偷偷看手机告诉我，我们对这个气得咬牙切齿。没想到再次听到这个消息就成真的了。很难受，想用“人固有一死”来宽慰自己，但仍没有用。如果不是要上课，我也想去送送袁老。谢谢您这一生的奉献，我辈也将一往无前，为中国的发展不断努力,0,2021-05-22 18:40:05,小米8 SE,6012297266,2021-05-22 18:39:00,吾皇最聪明哒女,女,袁隆平,湖南
周六好呀,10930,2021-05-22 18:40:01,小米5X 拍人更美,6001068922,2021-05-22 18:39:00,江停喜欢我众所皆知,女,袁隆平,河北
:第一次真切地感受到一位伟人的逝世举国悲痛，是因为袁隆平爷爷离我们最近，在我们的一日三餐中，在一粥一饭中。 ,0,2021-05-22 18:40:07,HUAWEI Mate 20,5990992916,2021-05-22 18:39:00,一呀翊呀哟,女,袁隆平,其他
:#袁隆平逝世#我中午临走前看的时候只是感到悲痛，下午才有真切的感觉，历史课本上的人物以后也只能在历史课本上见了啊。素未谋面的爷爷，却好像又无处不在，一句谢谢也包含不了您的伟大，但我除了谢谢又不知道还能说些什么，就说，您放心，以后一定好好吃饭吧。想起来背过的一句话:国之重器，为国可忍辱负重，粉身碎骨；为业可择一事终一生，呕心沥血。谢谢您。,0,2021-05-22 18:40:02,Share微博客户端,5895826358,2021-05-22 18:39:00,小恰有没有女,女,袁隆平,山东
:#袁隆平逝世#哭了一下午，不敢相信这是真的，心情沉重，袁隆平爷爷永远在我们的心中，他是等我们中午吃饱饭才走的，他永远在我们的心中，我们一定不要浪费粮食，永远铭记袁老 ,0,2021-05-22 18:40:00,vivo X23 AI非凡摄影,5864118024,2021-05-22 18:39:00,安然一笑的凯男,男,袁隆平,山东
:#袁隆平逝世#【#袁隆平最后一次看杂交稻#】应家属要求，运送袁老遗体的车驶向湖南杂交水稻研究中心。让袁老最后再看看他毕生钟爱的“杂交稻”，回到育种实验室再看一看……#袁老回到了他奋斗的地方#,0,2021-05-22 18:40:03,荣耀9 美得有声有色,5848157874,2021-05-22 18:39:00,地瓜去了皮女,女,袁隆平,黑龙江
:唉,0,2021-05-22 18:40:05,荣耀V20 4800万3D相机,5847405995,2021-05-22 18:39:00,祁风alr,女,袁隆平,辽宁
:#长沙市民雨中送别袁隆平#我希望今天我也能在长沙 送袁老最后一程 ,0,2021-05-22 18:40:01,荣耀20青春版,5820164880,2021-05-22 18:39:00,YO嚯嚯嚯嚯女,女,袁隆平,湖南
【痛悼！#共和国痛失袁隆平院士#,5997420,2021-05-22 18:40:08,vivo AI智慧拍照X21i,5787040416,2021-05-22 18:39:00,陌陌里u,女,袁隆平,其他
:长沙市民雨中送别袁隆平真的让人感动又难受不舍，泪如雨下！,0,2021-05-22 18:40:01,微博视频号,5756866821,2021-05-22 18:39:00,娱大男孩,男,袁隆平,广东
【#听袁隆平爷爷的话#,46920,2021-05-22 18:40:03,iPhone客户端,5677039984,2021-05-22 18:39:00,胡同里的柴郡猫女,女,袁隆平,湖北
#袁隆平院士逝世#好难受，爷爷走好,10100,2021-05-22 18:40:05,荣耀20i,5650250166,2021-05-22 18:39:00,我不是蓬蒿人1010女,女,袁隆平,广东
:🙏🙏#袁隆平# 杭州 ,1,2021-05-22 18:40:10,iPhone客户端,5618311865,2021-05-22 18:39:00,臭叉叉丶男,男,袁隆平,浙江
